author,author_cat
Darrell Lucus,1099
Daniel J. Flynn,1064
Consortiumnews.com,980
Jessica Purkiss,2051
Howard Portnoy,1732
Daniel Nussbaum,1071
Alissa J. Rubin,267
Megan Twohey and Scott Shane,2934
Aaron Klein,90
Chris Tomlinson,894
Amando Flavio,302
Jason Ditz,1947
Jack Williams,1864
Michael Corkery and Stacy Cowley,2982
Starkman,4086
The Doc,4229
Jeff Poor,1979
Jerome Hudson,2031
Pam Key,3424
Donald G. McNeil Jr. and Pam Belluck,1249
Ira Helfand,1790
Aaron Klein and Ali Waked,91
Amanda Shea,299
Jim Dwyer,2061
Ian Hanchett,1759
Steven Erlanger,4128
Clifford Krauss,951
"Leslie Picker, Danny Hakim and Michael J. de la Merced",2601
Andrew Higgins,366
greanfinisher .,4639
b,4568
AWR Hawkins,84
Aaron E. Carroll,87
Dr. Susan Berry,1271
Alexandria Laredo,245
Katie Rogers,2425
Ian Mason,1766
"Jim Rutenberg, Ben Protess and Emily Steel",2068
"Gordon Duff, Senior Editor",1625
Brian X. Chen,718
Virginia Hale,4431
Lance Schuttler,2542
Nate Church,3235
Lance Schuttler,2542
Madeline,2699
M.R. Islam,2689
The Doc,4229
Jeff Gordinier,1978
Neil Irwin,3261
Anonymous Coward (UID 12781064),435
Kenneth Chang and Sewell Chan,2462
Truth Broadcast Network,4368
A. O. Scott,71
Kristina Wong,2519
Admin,143
The Doc,4229
Jeremy W. Peters,2024
Jason Easley,1949
Chris Black,877
Ivan the Stakhanovets,1813
Jacey Fortin,1836
Brett Anderson,704
Jane Perlez,1936
Josh Katz,2271
Redflag Newsdesk,3678
Mark Landler,2793
Pam Key,3424
Andrea Kannapell and Sandra Stevenson,357
Breitbart London,695
Steve Sailer,4121
Scott Osborn,3957
"Nicholas Kulish, Vivian Yee, Caitlin Dickerson, Liz Robbins, Fernanda Santos and Jennifer Medina",3313
Niraj Chokshi and Liam Stack,3365
Heather Callaghan,1685
Jack Healy,1847
Kayla Brandon,2440
Amanda Hess,295
Mike Birbiglia,3129
Mac Slavo,2697
Nicholas Casey and Patricia Torres,3291
Natural News Editors,3251
Breitbart News,696
Edwin Mora,1302
Katherine Rodriguez,2412
Vivian Yee,4434
Tara Siegel Bernard,4195
Activist Post,103
Matt Richtel,2886
Nicholas Confessore and Rachel Shorey,3300
Amanda Shea,299
Joel B. Pollak,2117
The Anti-Media,4223
Michael Patrick Leahy,3053
Warner Todd Huston,4459
Dylan Gwinn,1282
John Koblin,2150
Katherine Rodriguez,2412
Amy Moreno,334
Michael J. de la Merced,3031
admin,4553
Warner Todd Huston,4459
JerÃƒÂ© Longman,2036
Ian Austen,1753
Jon Pareles,2192
"Glenn Thrush, Kate Kelly and Maggie Haberman",1610
Contributing Author,983
Eric Striker,1439
Michael Forsythe and Chris Buckley,3025
David Stockman,1160
wmw_admin,4840
Dennis Overbye,1205
Mujib Mashal,3204
Kristina Wong,2519
Trent Baker,4355
Editor,1293
Farhad Manjoo,1472
Nick Corasaniti and Maggie Haberman,3321
Ben Kew,588
Editor,1293
"Victor Mather, Doug Mills and Chang W. Lee",4413
beforeitsnews.com,4576
Geoffrey Grider,1571
T Steelman,4175
Zero Hedge,4545
Starkman,4086
AWR Hawkins,84
